publishedAt,authorDisplayName,textDisplay,likeCount
2023-12-30T04:36:08Z,@rizkiputramunggaran296,disney+,0
2023-10-14T10:54:50Z,@Afin-e1k,DARUL Fallah,0
2023-10-04T10:42:45Z,@reignBeaux4946,I really like the plot and this movie overall!! I like the Part 1 but I like this even more. Great Indonesian movie ! 👏👏<br><br>Filipino fan here.,9
2023-09-29T04:28:53Z,@sigitgenjeh20,🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉,0
2023-09-29T04:28:45Z,@sigitgenjeh20,🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉,0
2023-09-24T13:50:02Z,@adityaofficialyt9805,"Filmnya udah Keluar Tapi Belum sempet Nonton, seru kata temen saya min 😂<br><br>Kalo Pengabdi Setan yang pertama saya udah nonton<br><br>Tinggal yang kedua belum",0
2023-08-13T16:43:10Z,@adityamandag2379,sumpah filmnya nggak ketebak,0
2023-12-04T13:24:42Z,@ewa02,plot twist joko Anwar gila sih,0
2023-08-09T21:56:22Z,@storyblock_istock,"<a href=""https://youtube.com/@youtubemoviefilm"">https://youtube.com/@youtubemoviefilm</a><br>https://youtu.be/t4l5dTko2h8",0
2023-08-08T17:44:58Z,@ewa02,uda 1th aja,4
2023-07-28T05:00:53Z,@pirmansyah-oe1it,sekali bikin film horror gregetan bgt.<br><br>setan yg udah kontrak sama manusia kuat kuat,1
2023-07-09T11:17:00Z,@avas4543,Any OTT platform ?,2
2023-07-19T01:02:18Z,@dal.afdall,only disney+,0
2023-07-03T04:31:02Z,@FirLor-om2sm,Tara Basro👊👊👊🔥,1
2023-07-02T06:44:27Z,@MrHan_shine,Amo estas películas AHHH❤❤❤,5
2023-09-16T08:58:44Z,@RecepYigitBora,Kardeşim daha önce hiç Türk korku filmi izledin mi siccin serisini tavsiye ederim,0
2023-06-21T01:42:12Z,@japriliansyah1514,"N,nn,n,n,",1
2023-06-12T14:00:58Z,@Ray_kertaraja,Menurut analisa gw...haha..✌️..Darmina itu .. perempuan yg di adegan terakhir dansa dengan batara itu... sepertinya sosok Jelmaan si RUMINOM...  Foto  Yg di sembah² mayat² di adegan awal....  Ya kan..  telat sih gw..g apa²...dari pada tidak nonton ...🤔,1
2023-05-31T03:55:14Z,@indino424,Youtuber Pasang sekarang dong film bayi ajaib,1
2023-05-30T10:09:18Z,@rafeyfaasylayusuf8065,"Lebih serem dr yg pertama,seru",2
2023-05-25T07:12:10Z,@nurmalina4647,Ini film rating terbaik menurut guaaa serem sedih nya ada disini real 😢❤❤❤❤❤❤,1
2023-05-22T09:03:59Z,@natashaavaleryn5198,Bapaknya ganteng 😫,4
2023-05-10T17:22:04Z,@perencanaantangsel-ro4rt,"film paling sampah,,,banyak adegan gak.penting,,,, banyak adegan yg terlalu maksa...!! bisa gitu anak2 dr jarak sekian, bisa lihat ada koin yg masuk dr lubang kecil...jenazah kecelakaan maksa banget ditinggal sendiri di setiap unit...Tiba2 remaja kecil disuruh periksa jenazah di lt 13...detail yg terlalu dipaksakan, mau film atau realita juga gak akan mungkin, sangat dipaksakan sekali adegannya 😂😂😂 udah penasaran dr sekian lama bru ninton skarang, ternyata ekspektasi sangat jauh..klo rating ini mah 2/10 😂😂😂",0
2023-05-11T09:00:42Z,@verajambi7346,Si tony umurnya dh 21 bukan 13 thn😬,0
2023-05-12T19:35:24Z,@perencanaantangsel-ro4rt,"@@verajambi7346 okelah, kecuali dlm cerita dibikin adegan klo si toni adalah karakter yg tidak percaya hantu, baru masuk akal..disuruh periksa sendirian...lah ini kelihatan banget, antara takut karena percaya hantu atau takutt karena ada orang jahat?? tidak jelas karakter yg mau dimainkan, aplgi ini indonesia, bukan amerika..klihatan dr ekspresi yh diarahkan sutradara, takut karena hantu atau tidak takut sam sekali...detailnya kurang diperhatikan..ekspresi yg ditujukan dsini hanya ekspresi terial2 gak jelas..",0
2023-05-18T07:32:55Z,@malfareza9383,"Kalau kritik tu jgn keliatan bego bgt, koin sebegitu berhamburannya udh pasti org notice, apalagi tu bocah bocah matanya masih sehat yakali ga keliatan, emang nya elu dh tua matanya Burem wkkwkw",1
